Title,Creator,Rights,Type,Description,Identifier,Publisher,State,Locality,EnumerationDistrict,Source,File,,,,,,,,,,,,,,
1950Census-DC1-174-12,Bureau of the Census,Public Domain,Form P1: Census of Population and Housing,"This series contains the 1950 census which attempted to enumerate every person living in the United States on April 1, 1950, although some persons were missed. The enumeration began on April 1, 1950, and was completed within four weeks. | District of Columbia - That part of Police Precinct 3 (Tract 53 - part), Bounded by Corcoran; 17th; Q; New Hampshire Avenue, N. W. This Enumeration District consists of the following block: 7",43290879,National Archives and Records Administration,District of Columbia,Washington,1-174,https://1950census.archives.gov,1950Census/DC01-174/DC1-174-12.jpg,,,,,,,,,,,,,,
1950Census-DC1-174-13,Bureau of the Census,Public Domain,Form P1: Census of Population and Housing,"This series contains the 1950 census which attempted to enumerate every person living in the United States on April 1, 1950, although some persons were missed. The enumeration began on April 1, 1950, and was completed within four weeks. | District of Columbia - That part of Police Precinct 3 (Tract 53 - part), Bounded by Corcoran; 17th; Q; New Hampshire Avenue, N. W. This Enumeration District consists of the following block: 7",43290879,National Archives and Records Administration,District of Columbia,Washington,1-174,https://1950census.archives.gov,1950Census/DC01-174/DC1-174-13.jpg,,,,,,,,,,,,,,
1950Census-DC1-174-14,Bureau of the Census,Public Domain,Form P1: Census of Population and Housing,"This series contains the 1950 census which attempted to enumerate every person living in the United States on April 1, 1950, although some persons were missed. The enumeration began on April 1, 1950, and was completed within four weeks. | District of Columbia - That part of Police Precinct 3 (Tract 53 - part), Bounded by Corcoran; 17th; Q; New Hampshire Avenue, N. W. This Enumeration District consists of the following block: 7",43290879,National Archives and Records Administration,District of Columbia,Washington,1-174,https://1950census.archives.gov,1950Census/DC01-174/DC1-174-14.jpg,,,,,,,,,,,,,,
1950Census-DC1-174-15,Bureau of the Census,Public Domain,Form P1: Census of Population and Housing,"This series contains the 1950 census which attempted to enumerate every person living in the United States on April 1, 1950, although some persons were missed. The enumeration began on April 1, 1950, and was completed within four weeks. | District of Columbia - That part of Police Precinct 3 (Tract 53 - part), Bounded by Corcoran; 17th; Q; New Hampshire Avenue, N. W. This Enumeration District consists of the following block: 7",43290879,National Archives and Records Administration,District of Columbia,Washington,1-174,https://1950census.archives.gov,1950Census/DC01-174/DC1-174-15.jpg,,,,,,,,,,,,,,
1950Census-DC1-174-16,Bureau of the Census,Public Domain,Form P1: Census of Population and Housing,"This series contains the 1950 census which attempted to enumerate every person living in the United States on April 1, 1950, although some persons were missed. The enumeration began on April 1, 1950, and was completed within four weeks. | District of Columbia - That part of Police Precinct 3 (Tract 53 - part), Bounded by Corcoran; 17th; Q; New Hampshire Avenue, N. W. This Enumeration District consists of the following block: 7",43290879,National Archives and Records Administration,District of Columbia,Washington,1-174,https://1950census.archives.gov,1950Census/DC01-174/DC1-174-16.jpg,,,,,,,,,,,,,,
1950Census-DC1-174-17,Bureau of the Census,Public Domain,Form P1: Census of Population and Housing,"This series contains the 1950 census which attempted to enumerate every person living in the United States on April 1, 1950, although some persons were missed. The enumeration began on April 1, 1950, and was completed within four weeks. | District of Columbia - That part of Police Precinct 3 (Tract 53 - part), Bounded by Corcoran; 17th; Q; New Hampshire Avenue, N. W. This Enumeration District consists of the following block: 7",43290879,National Archives and Records Administration,District of Columbia,Washington,1-174,https://1950census.archives.gov,1950Census/DC01-174/DC1-174-17.jpg,,,,,,,,,,,,,,
1950Census-DC1-174-18,Bureau of the Census,Public Domain,Form P1: Census of Population and Housing,"This series contains the 1950 census which attempted to enumerate every person living in the United States on April 1, 1950, although some persons were missed. The enumeration began on April 1, 1950, and was completed within four weeks. | District of Columbia - That part of Police Precinct 3 (Tract 53 - part), Bounded by Corcoran; 17th; Q; New Hampshire Avenue, N. W. This Enumeration District consists of the following block: 7",43290879,National Archives and Records Administration,District of Columbia,Washington,1-174,https://1950census.archives.gov,1950Census/DC01-174/DC1-174-18.jpg,,,,,,,,,,,,,,
1950Census-DC1-174-19,Bureau of the Census,Public Domain,Form P1: Census of Population and Housing,"This series contains the 1950 census which attempted to enumerate every person living in the United States on April 1, 1950, although some persons were missed. The enumeration began on April 1, 1950, and was completed within four weeks. | District of Columbia - That part of Police Precinct 3 (Tract 53 - part), Bounded by Corcoran; 17th; Q; New Hampshire Avenue, N. W. This Enumeration District consists of the following block: 7",43290879,National Archives and Records Administration,District of Columbia,Washington,1-174,https://1950census.archives.gov,1950Census/DC01-174/DC1-174-19.jpg,,,,,,,,,,,,,,
1950Census-DC1-174-20,Bureau of the Census,Public Domain,Form P1: Census of Population and Housing,"This series contains the 1950 census which attempted to enumerate every person living in the United States on April 1, 1950, although some persons were missed. The enumeration began on April 1, 1950, and was completed within four weeks. | District of Columbia - That part of Police Precinct 3 (Tract 53 - part), Bounded by Corcoran; 17th; Q; New Hampshire Avenue, N. W. This Enumeration District consists of the following block: 7",43290879,National Archives and Records Administration,District of Columbia,Washington,1-174,https://1950census.archives.gov,1950Census/DC01-174/DC1-174-20.jpg,,,,,,,,,,,,,,
1950Census-DC1-174-21,Bureau of the Census,Public Domain,Form P1: Census of Population and Housing,"This series contains the 1950 census which attempted to enumerate every person living in the United States on April 1, 1950, although some persons were missed. The enumeration began on April 1, 1950, and was completed within four weeks. | District of Columbia - That part of Police Precinct 3 (Tract 53 - part), Bounded by Corcoran; 17th; Q; New Hampshire Avenue, N. W. This Enumeration District consists of the following block: 7",43290879,National Archives and Records Administration,District of Columbia,Washington,1-174,https://1950census.archives.gov,1950Census/DC01-174/DC1-174-21.jpg,,,,,,,,,,,,,,
1950Census-DC1-174-71,Bureau of the Census,Public Domain,Form P1: Census of Population and Housing,"This series contains the 1950 census which attempted to enumerate every person living in the United States on April 1, 1950, although some persons were missed. The enumeration began on April 1, 1950, and was completed within four weeks. | District of Columbia - That part of Police Precinct 3 (Tract 53 - part), Bounded by Corcoran; 17th; Q; New Hampshire Avenue, N. W. This Enumeration District consists of the following block: 7",43290879,National Archives and Records Administration,District of Columbia,Washington,1-174,https://1950census.archives.gov,1950Census/DC01-174/DC1-174-71.jpg,,,,,,,,,,,,,,
1950Census-DC1-174-72,Bureau of the Census,Public Domain,Form P1: Census of Population and Housing,"This series contains the 1950 census which attempted to enumerate every person living in the United States on April 1, 1950, although some persons were missed. The enumeration began on April 1, 1950, and was completed within four weeks. | District of Columbia - That part of Police Precinct 3 (Tract 53 - part), Bounded by Corcoran; 17th; Q; New Hampshire Avenue, N. W. This Enumeration District consists of the following block: 7",43290879,National Archives and Records Administration,District of Columbia,Washington,1-174,https://1950census.archives.gov,1950Census/DC01-174/DC1-174-72.jpg,,,,,,,,,,,,,,
1950Census-DC1-174-73,Bureau of the Census,Public Domain,Form P1: Census of Population and Housing,"This series contains the 1950 census which attempted to enumerate every person living in the United States on April 1, 1950, although some persons were missed. The enumeration began on April 1, 1950, and was completed within four weeks. | District of Columbia - That part of Police Precinct 3 (Tract 53 - part), Bounded by Corcoran; 17th; Q; New Hampshire Avenue, N. W. This Enumeration District consists of the following block: 7",43290879,National Archives and Records Administration,District of Columbia,Washington,1-174,https://1950census.archives.gov,1950Census/DC01-174/DC1-174-73.jpg,,,,,,,,,,,,,,
1950Census-DC1-174-74,Bureau of the Census,Public Domain,Form P1: Census of Population and Housing,"This series contains the 1950 census which attempted to enumerate every person living in the United States on April 1, 1950, although some persons were missed. The enumeration began on April 1, 1950, and was completed within four weeks. | District of Columbia - That part of Police Precinct 3 (Tract 53 - part), Bounded by Corcoran; 17th; Q; New Hampshire Avenue, N. W. This Enumeration District consists of the following block: 7",43290879,National Archives and Records Administration,District of Columbia,Washington,1-174,https://1950census.archives.gov,1950Census/DC01-174/DC1-174-74.jpg,,,,,,,,,,,,,,
